curvature;km;beauty;speedlimit
-;0.1;;
-;0.1;;
25;0.2;;
106;0.1;;
115;0.4;;
323;0.4;;
48;0.8;;
1064;1;;
101;0.6;;
-;0.1;;
67;0.1;;
5;0.1;;
-;0.1;;
-;0.1;;
251;0.2;;
154;0.5;;
24;0.1;;
209;0.4;;
-;0.1;;
-;0.2;;
41;0.2;;
-;0.1;;
-;0.1;;
-;0.3;;
-;0.1;;
-;0.1;;
137;0.6;;
130;0.5;;
31;0.1;;
61;0.1;;
9;0.1;;
3;0.1;;
14;0.1;;
89;0.2;;
-;0.1;;
-;0.1;;
269;0.2;;
175;0.1;;
-;0.1;;
627;0.7;;
-;0.1;;
-;0.3;;
-;0.1;;
313;0.4;;
-;0.1;;
276;1.2;;
31;0.1;;
-;0.1;;
20;0.1;;
242;0.6;;
232;0.5;;
562;0.7;;
79;0.1;;
29;0.1;;
311;0.5;;
-;0.3;;
69;0.2;;
387;0.8;;
169;0.2;;
188;0.3;;
58;0.3;;
289;0.3;;
60;0.1;;
20;0.1;;
9;0.1;;
77;0.2;;
303;0.3;;
67;0.1;;
-;0.1;;
154;0.6;;
70;0.2;;
-;0.4;;
-;0.1;;
403;0.8;;
91;0.9;;
-;0.1;;
225;0.5;;
42;0.3;;
64;0.1;;
-;0.2;;
285;0.7;;
-;0.1;;
42;0.1;;
145;0.1;;
15;0.1;;
38;0.1;;
7;0.1;;
30;0.1;;
16;0.1;;
73;0.3;;
118;0.2;;
41;0.2;;
444;1.9;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.5;;
-;0.1;;
-;0.3;;
56;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
24;0.1;;
64;0.1;;
-;0.1;;
-;0.1;;
92;0.1;;
9;0.1;;
54;0.1;;
354;0.5;;
-;0.1;;
-;0.1;;
60;0.2;;
18;0.2;;
-;0.1;;
43;0.2;;
-;0.2;;
-;0.4;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
-;0.1;;
41;0.1;;
70;0.1;;
